Dates_SPX,Open_SPX,Close_SPX,Dates_XP1,Open_XP1,Close_XP1
12/1/2023 9:30:00 AM,4559.43,4557.01,12/1/2023 9:30:00 AM,7092,7094
12/1/2023 9:35:00 AM,4556.92,4560.46,12/1/2023 9:35:00 AM,7094,7100
12/1/2023 9:40:00 AM,4560.51,4563.17,12/1/2023 9:40:00 AM,7100,7105
12/1/2023 9:45:00 AM,4563.23,4563.29,12/1/2023 9:45:00 AM,7105,7107
12/1/2023 9:50:00 AM,4563.34,4564.95,12/1/2023 9:50:00 AM,7107,7110
12/1/2023 9:55:00 AM,4564.91,4564.27,12/1/2023 9:55:00 AM,7110,7115
12/1/2023 10:00:00 AM,4567.75,4571.63,12/1/2023 10:00:00 AM,7115,7119
12/1/2023 10:05:00 AM,4571.97,4569.71,12/1/2023 10:05:00 AM,7120,7121
12/1/2023 10:10:00 AM,4569.56,4565.65,12/1/2023 10:10:00 AM,7121,7120
12/1/2023 10:15:00 AM,4565.76,4565.65,12/1/2023 10:15:00 AM,7120,7120
12/1/2023 10:20:00 AM,4565.81,4563.57,12/1/2023 10:20:00 AM,7121,7122
12/1/2023 10:25:00 AM,4563.59,4559.74,12/1/2023 10:25:00 AM,7122,7119
12/1/2023 10:30:00 AM,4559.68,4563.39,12/1/2023 10:30:00 AM,7119,7123
12/1/2023 10:35:00 AM,4563.18,4563.05,12/1/2023 10:35:00 AM,7123,7122
12/1/2023 10:40:00 AM,4563.15,4564.97,12/1/2023 10:40:00 AM,7122,7121
12/1/2023 10:45:00 AM,4564.92,4566.66,12/1/2023 10:45:00 AM,7122,7127
12/1/2023 10:50:00 AM,4566.65,4566.9,12/1/2023 10:50:00 AM,7126,7127
12/1/2023 10:55:00 AM,4566.95,4566.17,12/1/2023 10:55:00 AM,7127,7126
12/1/2023 11:00:00 AM,4566.08,4567.05,12/1/2023 11:00:00 AM,7126,7122
12/1/2023 11:05:00 AM,4566.93,4569.33,12/1/2023 11:05:00 AM,7122,7128
12/1/2023 11:10:00 AM,4569.6,4576.51,12/1/2023 11:10:00 AM,7128,7133
12/1/2023 11:15:00 AM,4576.28,4573.89,12/1/2023 11:15:00 AM,7133,7132
12/1/2023 11:20:00 AM,4573.97,4571.77,12/1/2023 11:20:00 AM,7131,7130
12/1/2023 11:25:00 AM,4571.91,4577.56,12/1/2023 11:25:00 AM,7130,7137
12/1/2023 11:30:00 AM,4577.69,4579.94,12/1/2023 11:30:00 AM,7138,7138
12/1/2023 11:35:00 AM,4579.91,4576.64,12/1/2023 11:35:00 AM,7138,7134
12/1/2023 11:40:00 AM,4576.59,4585.29,12/1/2023 11:40:00 AM,7134,7142
12/1/2023 11:45:00 AM,4585.3,4583.36,12/1/2023 11:45:00 AM,7142,7142
12/1/2023 11:50:00 AM,4583.24,4587.83,12/1/2023 11:50:00 AM,7142,7146
12/1/2023 11:55:00 AM,4588.08,4586.36,12/1/2023 11:55:00 AM,7146,7145
12/1/2023 12:00:00 PM,4586.38,4587.17,12/1/2023 12:00:00 PM,7145,7144
12/1/2023 12:05:00 PM,4586.86,4589.29,12/1/2023 12:05:00 PM,7144,7146
12/1/2023 12:10:00 PM,4589.18,4591.06,12/1/2023 12:10:00 PM,7146,7147
12/1/2023 12:15:00 PM,4591.08,4587.8,12/1/2023 12:15:00 PM,7147,7145
12/1/2023 12:20:00 PM,4587.87,4588.96,12/1/2023 12:20:00 PM,7144,7146
12/1/2023 12:25:00 PM,4588.96,4592.43,12/1/2023 12:25:00 PM,7146,7147
12/1/2023 12:30:00 PM,4592.41,4591.84,12/1/2023 12:30:00 PM,7146,7147
12/1/2023 12:35:00 PM,4591.8,4593.58,12/1/2023 12:35:00 PM,7146,7148
12/1/2023 12:40:00 PM,4593.6,4594.39,12/1/2023 12:40:00 PM,7148,7149
12/1/2023 12:45:00 PM,4594.4,4597.6,12/1/2023 12:45:00 PM,7149,7151
12/1/2023 12:50:00 PM,4597.46,4597.93,12/1/2023 12:50:00 PM,7151,7153
12/1/2023 12:55:00 PM,4598.36,4597.25,12/1/2023 12:55:00 PM,7153,7153
12/1/2023 1:00:00 PM,4597.48,4595.83,12/1/2023 1:00:00 PM,7153,7152
12/1/2023 1:05:00 PM,4595.83,4593.93,12/1/2023 1:05:00 PM,7151,7150
12/1/2023 1:10:00 PM,4593.9,4591.16,12/1/2023 1:10:00 PM,7150,7149
12/1/2023 1:15:00 PM,4591.08,4592.06,12/1/2023 1:15:00 PM,7149,7149
12/1/2023 1:20:00 PM,4592.28,4593.09,12/1/2023 1:20:00 PM,7149,7148
12/1/2023 1:25:00 PM,4593.2,4588.54,12/1/2023 1:25:00 PM,7149,7149
12/1/2023 1:30:00 PM,4588.54,4589.35,12/1/2023 1:30:00 PM,7148,7150
12/1/2023 1:35:00 PM,4589.33,4587.04,12/1/2023 1:35:00 PM,7149,7151
12/1/2023 1:40:00 PM,4586.9,4589.45,12/1/2023 1:40:00 PM,7150,7151
12/1/2023 1:45:00 PM,4589.38,4587.48,12/1/2023 1:45:00 PM,7151,7151
12/1/2023 1:50:00 PM,4587.53,4586.6,12/1/2023 1:50:00 PM,7151,7149
12/1/2023 1:55:00 PM,4586.71,4586.07,12/1/2023 1:55:00 PM,7149,7148
12/1/2023 2:00:00 PM,4586.21,4588.47,12/1/2023 2:00:00 PM,7149,7151
12/1/2023 2:05:00 PM,4588.45,4585.18,12/1/2023 2:05:00 PM,7151,7149
12/1/2023 2:10:00 PM,4585.26,4589.82,12/1/2023 2:10:00 PM,7149,7152
12/1/2023 2:15:00 PM,4589.45,4588.61,12/1/2023 2:15:00 PM,7152,7150
