Dates,Open Time,Open,Close Time,Close,IntradayRet
2023-05-19,2023-05-19 09:30:00,4204.15,2023-05-19 16:00:00,4191.98,-0.0028947587502824446
2023-05-22,2023-05-22 09:30:00,4190.78,2023-05-22 16:00:00,4192.63,0.0004414452679455394
2023-05-23,2023-05-23 09:30:00,4176.8,2023-05-23 16:00:00,4145.58,-0.007474621719977037
2023-05-24,2023-05-24 09:30:00,4132.96,2023-05-24 16:00:00,4115.24,-0.004287484030815802
2023-05-25,2023-05-25 09:30:00,4155.71,2023-05-25 16:00:00,4151.28,-0.0010660031619146304
2023-05-26,2023-05-26 09:30:00,4156.16,2023-05-26 16:00:00,4205.45,0.011859504927625553
2023-05-30,2023-05-30 09:30:00,4226.71,2023-05-30 16:00:00,4205.52,-0.00501335554130744
2023-05-31,2023-05-31 09:30:00,4190.74,2023-05-31 16:00:00,4179.83,-0.0026033588340006464
2023-06-01,2023-06-01 09:30:00,4183.03,2023-06-01 16:00:00,4221.02,0.00908193343102992
2023-06-02,2023-06-02 09:30:00,4241.01,2023-06-02 16:00:00,4282.37,0.009752393887304978
2023-06-05,2023-06-05 09:30:00,4282.99,2023-06-05 16:00:00,4273.79,-0.0021480320990708845
2023-06-06,2023-06-06 09:30:00,4271.34,2023-06-06 16:00:00,4283.85,0.0029288232732584962
2023-06-07,2023-06-07 09:30:00,4285.47,2023-06-07 16:00:00,4267.52,-0.00418857208194201
2023-06-08,2023-06-08 09:30:00,4268.69,2023-06-08 16:00:00,4293.93,0.005912821029402604
2023-06-09,2023-06-09 09:30:00,4304.88,2023-06-09 16:00:00,4298.86,-0.0013984129638922038
2023-06-12,2023-06-12 09:30:00,4308.32,2023-06-12 16:00:00,4338.93,0.007104857577896029
2023-06-13,2023-06-13 09:30:00,4352.61,2023-06-13 16:00:00,4369.01,0.003767854229990819
2023-06-14,2023-06-14 09:30:00,4366.29,2023-06-14 16:00:00,4372.59,0.0014428725531285824
2023-06-15,2023-06-15 09:30:00,4365.33,2023-06-15 16:00:00,4425.84,0.013861495007250424
2023-06-16,2023-06-16 09:30:00,4440.95,2023-06-16 16:00:00,4409.59,-0.007061552145374184
2023-06-20,2023-06-20 09:30:00,4396.11,2023-06-20 16:00:00,4388.71,-0.0016833063776838797
2023-06-21,2023-06-21 09:30:00,4380.01,2023-06-21 16:00:00,4365.69,-0.0032693989283131275
2023-06-22,2023-06-22 09:30:00,4355.4,2023-06-22 16:00:00,4381.89,0.0060821049731369925
2023-06-23,2023-06-23 09:30:00,4354.17,2023-06-23 16:00:00,4348.33,-0.0013412429923499447
2023-06-26,2023-06-26 09:30:00,4344.84,2023-06-26 16:00:00,4328.82,-0.003687132322479192
2023-06-27,2023-06-27 09:30:00,4337.36,2023-06-27 16:00:00,4378.41,0.009464282420643011
2023-06-28,2023-06-28 09:30:00,4367.48,2023-06-28 16:00:00,4376.86,0.0021476915750042735
2023-06-29,2023-06-29 09:30:00,4374.94,2023-06-29 16:00:00,4396.44,0.004914353111128422
2023-06-30,2023-06-30 09:30:00,4422.44,2023-06-30 16:00:00,4450.38,0.006317779325440309
2023-07-03,2023-07-03 09:30:00,4450.48,2023-07-03 14:00:00,4455.59,0.001148190756952161
2023-07-05,2023-07-05 09:30:00,4442.04,2023-07-05 16:00:00,4446.82,0.0010760821604487436
2023-07-06,2023-07-06 09:30:00,4422.62,2023-07-06 16:00:00,4411.59,-0.002493996771144702
2023-07-07,2023-07-07 09:30:00,4404.54,2023-07-07 16:00:00,4398.95,-0.0012691450185490227
2023-07-10,2023-07-10 09:30:00,4394.23,2023-07-10 16:00:00,4409.53,0.0034818386839106097
2023-07-11,2023-07-11 09:30:00,4415.55,2023-07-11 16:00:00,4439.26,0.005369659498816626
2023-07-12,2023-07-12 09:30:00,4467.69,2023-07-12 16:00:00,4472.16,0.0010005170457216828
2023-07-13,2023-07-13 09:30:00,4491.5,2023-07-13 16:00:00,4510.04,0.004127796949794149
2023-07-14,2023-07-14 09:30:00,4514.61,2023-07-14 16:00:00,4505.42,-0.002035613264490088
2023-07-17,2023-07-17 09:30:00,4508.86,2023-07-17 16:00:00,4522.79,0.003089472727030751
2023-07-18,2023-07-18 09:30:00,4521.78,2023-07-18 16:00:00,4554.98,0.0073422413297417055
2023-07-19,2023-07-19 09:30:00,4563.87,2023-07-19 16:00:00,4565.72,0.0004053577336777803
2023-07-20,2023-07-20 09:30:00,4554.38,2023-07-20 16:00:00,4534.87,-0.004283788353189766
2023-07-21,2023-07-21 09:30:00,4550.16,2023-07-21 16:00:00,4536.34,-0.0030372558327618204
2023-07-24,2023-07-24 09:30:00,4543.39,2023-07-24 16:00:00,4554.64,0.002476124655818701
2023-07-25,2023-07-25 09:30:00,4555.19,2023-07-25 16:00:00,4567.46,0.0026936307815921268
2023-07-26,2023-07-26 09:30:00,4558.96,2023-07-26 16:00:00,4566.75,0.0017087230420973487
2023-07-27,2023-07-27 09:30:00,4598.26,2023-07-27 16:00:00,4537.41,-0.013233266496457396
2023-07-28,2023-07-28 09:30:00,4565.75,2023-07-28 16:00:00,4582.23,0.003609483655478085
2023-07-31,2023-07-31 09:30:00,4584.82,2023-07-31 16:00:00,4588.96,0.0009029798334505568
2023-08-01,2023-08-01 09:30:00,4578.83,2023-08-01 16:00:00,4576.73,-0.0004586324454064483
2023-08-02,2023-08-02 09:30:00,4550.93,2023-08-02 16:00:00,4513.39,-0.00824886341912534
2023-08-03,2023-08-03 09:30:00,4494.27,2023-08-03 16:00:00,4501.89,0.0016954922601446487
2023-08-04,2023-08-04 09:30:00,4513.96,2023-08-04 16:00:00,4478.03,-0.007959751526376069
2023-08-07,2023-08-07 09:30:00,4491.58,2023-08-07 16:00:00,4518.44,0.0059800782798034025
2023-08-08,2023-08-08 09:30:00,4498.03,2023-08-08 16:00:00,4499.38,0.0003001313908534975
2023-08-09,2023-08-09 09:30:00,4501.57,2023-08-09 16:00:00,4467.71,-0.00752182016496461
2023-08-10,2023-08-10 09:30:00,4487.16,2023-08-10 16:00:00,4468.83,-0.004084989169095832
2023-08-11,2023-08-11 09:30:00,4450.69,2023-08-11 16:00:00,4464.05,0.0030017817462013596
2023-08-14,2023-08-14 09:30:00,4458.13,2023-08-14 16:00:00,4489.72,0.0070859306480519635
2023-08-15,2023-08-15 09:30:00,4478.87,2023-08-15 16:00:00,4437.86,-0.009156327377217943
2023-08-16,2023-08-16 09:30:00,4433.79,2023-08-16 16:00:00,4404.33,-0.006644428355876086
2023-08-17,2023-08-17 09:30:00,4416.32,2023-08-17 16:00:00,4370.36,-0.010406854575755409
2023-08-18,2023-08-18 09:30:00,4344.88,2023-08-18 16:00:00,4369.71,0.005714772329730611
2023-08-21,2023-08-21 09:30:00,4380.28,2023-08-21 16:00:00,4399.77,0.004449487247390804
2023-08-22,2023-08-22 09:30:00,4415.33,2023-08-22 16:00:00,4387.55,-0.006291715455016944
2023-08-23,2023-08-23 09:30:00,4396.44,2023-08-23 16:00:00,4436.01,0.009000464011791554
2023-08-24,2023-08-24 09:30:00,4455.16,2023-08-24 16:00:00,4376.31,-0.017698578726689784
2023-08-25,2023-08-25 09:30:00,4389.38,2023-08-25 16:00:00,4405.71,0.0037203431919770047
2023-08-28,2023-08-28 09:30:00,4426.03,2023-08-28 16:00:00,4433.31,0.0016448148792485018
2023-08-29,2023-08-29 09:30:00,4432.75,2023-08-29 16:00:00,4497.63,0.014636512323050077
2023-08-30,2023-08-30 09:30:00,4500.34,2023-08-30 16:00:00,4514.87,0.0032286449468261758
2023-08-31,2023-08-31 09:30:00,4517.01,2023-08-31 16:00:00,4507.66,-0.0020699533540993187
2023-09-01,2023-09-01 09:30:00,4530.6,2023-09-01 16:00:00,4515.77,-0.003273297135037323
2023-09-05,2023-09-05 09:30:00,4510.06,2023-09-05 16:00:00,4496.83,-0.0029334421271558497
2023-09-06,2023-09-06 09:30:00,4490.35,2023-09-06 16:00:00,4465.48,-0.00553854376607632
2023-09-07,2023-09-07 09:30:00,4434.55,2023-09-07 16:00:00,4451.14,0.0037410785761802234
2023-09-08,2023-09-08 09:30:00,4451.3,2023-09-08 16:00:00,4457.49,0.001390604991799993
2023-09-11,2023-09-11 09:30:00,4480.98,2023-09-11 16:00:00,4487.46,0.0014461122343774058
