Dates,Open,Close,Volume
5/21/2023 18:00,71.7,71.69,6
5/21/2023 18:30,71.52,71.52,2
5/21/2023 19:00,71.53,71.52,3
5/21/2023 20:00,71.6,71.6,1
5/21/2023 21:00,71.51,71.28,31
5/21/2023 21:30,71.07,71.03,3
5/21/2023 22:00,70.97,70.97,4
5/21/2023 23:00,71,71,1
5/22/2023 0:00,70.81,70.94,15
5/22/2023 1:00,70.89,70.96,4
5/22/2023 2:00,70.69,70.77,18
5/22/2023 2:30,70.68,70.68,1
5/22/2023 3:00,71.01,71.01,1
5/22/2023 3:30,71.08,71.08,3
5/22/2023 4:30,71.58,71.45,38
5/22/2023 5:00,71.55,71.55,10
5/22/2023 5:30,71.42,71.39,2
5/22/2023 6:00,71.27,71.48,6
5/22/2023 6:30,71.55,71.55,10
5/22/2023 7:00,71.55,71.62,31
5/22/2023 7:30,71.7,71.75,20
5/22/2023 8:00,71.75,71.47,26
5/22/2023 8:30,71.4,71.45,134
5/22/2023 9:00,71.5,71.55,343
5/22/2023 9:30,71.37,71.63,129
5/22/2023 10:00,71.7,71.75,85
5/22/2023 10:30,71.7,71.5,197
5/22/2023 11:00,71.55,71.88,335
5/22/2023 11:30,71.95,71.86,56
5/22/2023 12:00,71.87,71.83,249
5/22/2023 12:30,71.79,72.01,136
5/22/2023 13:00,72.02,72.3,233
5/22/2023 13:30,72.21,72.23,374
5/22/2023 14:00,72.22,71.81,5104
5/22/2023 18:00,72.1,72.13,248
5/22/2023 18:30,72.14,72.23,382
5/22/2023 19:00,72.23,72.34,612
5/22/2023 19:30,72.34,72.29,384
5/22/2023 20:00,72.3,72.26,1126
5/22/2023 20:30,72.27,72.26,539
5/22/2023 21:00,72.26,72.5,2292
5/22/2023 21:30,72.5,72.42,2498
5/22/2023 22:00,72.42,72.39,897
5/22/2023 22:30,72.38,72.49,1178
5/22/2023 23:00,72.49,72.34,834
5/22/2023 23:30,72.34,72.34,580
5/23/2023 0:00,72.34,72.31,351
5/23/2023 0:30,72.31,72.21,705
5/23/2023 1:00,72.2,72.29,637
5/23/2023 1:30,72.29,72.31,1691
5/23/2023 2:00,72.3,72.42,1340
5/23/2023 2:30,72.43,72.15,2551
5/23/2023 3:00,72.14,71.94,4150
5/23/2023 3:30,71.94,71.81,4979
5/23/2023 4:00,71.8,72.03,9509
5/23/2023 4:30,72.03,71.81,4447
5/23/2023 5:00,71.81,72.02,3050
5/23/2023 5:30,72.01,72.09,2202
5/23/2023 6:00,72.08,72.23,3161
5/23/2023 6:30,72.22,72.65,7699
5/23/2023 7:00,72.65,72.74,3824
5/23/2023 7:30,72.73,72.84,4159
5/23/2023 8:00,72.84,73.1,7814
5/23/2023 8:30,73.11,73.02,5720
5/23/2023 9:00,73.02,72.81,14686
5/23/2023 9:30,72.81,73.56,20332
5/23/2023 10:00,73.56,73.19,23051
5/23/2023 10:30,73.2,73.07,14330
5/23/2023 11:00,73.07,73.23,12187
5/23/2023 11:30,73.23,73.37,9804
5/23/2023 12:00,73.37,73.32,5733
5/23/2023 12:30,73.32,73.37,6667
5/23/2023 13:00,73.37,73.38,5734
5/23/2023 13:30,73.37,73.38,5876
5/23/2023 14:00,73.37,72.88,17117
5/23/2023 14:30,72.88,72.92,4740
5/23/2023 15:00,72.91,73.04,2732
5/23/2023 15:30,73.04,73.09,1952
5/23/2023 16:00,73.1,73.19,916
5/23/2023 16:30,73.18,73.78,5152
5/23/2023 18:00,73.77,73.76,852
5/23/2023 18:30,73.75,73.87,1277
5/23/2023 19:00,73.87,73.82,475
5/23/2023 19:30,73.81,73.85,515
5/23/2023 20:00,73.85,73.84,1485
5/23/2023 20:30,73.84,73.72,698
5/23/2023 21:00,73.72,73.83,2570
5/23/2023 21:30,73.83,73.8,1526
5/23/2023 22:00,73.79,73.74,1445
5/23/2023 22:30,73.73,73.75,1155
5/23/2023 23:00,73.75,73.67,1086
5/23/2023 23:30,73.66,73.69,458
5/24/2023 0:00,73.69,73.77,442
5/24/2023 0:30,73.78,73.81,339
5/24/2023 1:00,73.81,73.79,819
5/24/2023 1:30,73.8,73.77,1334
5/24/2023 2:00,73.77,73.72,1388
5/24/2023 2:30,73.72,73.82,2113
5/24/2023 3:00,73.82,73.62,5859
5/24/2023 3:30,73.62,73.71,5351
5/24/2023 4:00,73.71,73.81,6572
