Dates,Open,Close,Volume
5/19/2023 3:30,30910,30890,3271
5/19/2023 4:00,30890,30890,1122
5/19/2023 4:30,30890,30940,1106
5/19/2023 5:00,30940,30950,869
5/19/2023 5:30,30960,30930,622
5/19/2023 6:00,30930,30900,633
5/19/2023 6:30,30900,30860,545
5/19/2023 7:00,30870,30920,820
5/19/2023 7:30,30920,30910,323
5/19/2023 8:00,30920,30890,347
5/19/2023 8:30,30890,30890,264
5/19/2023 9:00,30890,30880,426
5/19/2023 9:30,30880,30920,1689
5/19/2023 10:00,30920,30930,1224
5/19/2023 10:30,30930,30900,430
5/19/2023 11:00,30910,30740,2795
5/19/2023 11:30,30740,30770,3489
5/19/2023 12:00,30760,30770,731
5/19/2023 12:30,30770,30790,711
5/19/2023 13:00,30800,30800,359
5/19/2023 13:30,30810,30770,207
5/19/2023 14:00,30770,30770,327
5/19/2023 14:30,30780,30840,375
5/19/2023 15:00,30830,30820,322
5/19/2023 15:30,30820,30860,434
5/19/2023 16:00,30850,30830,234
5/19/2023 16:30,30820,30820,182
5/19/2023 17:00,30820,30820,80
5/21/2023 19:30,30770,30720,1679
5/21/2023 20:00,30730,30840,6342
5/21/2023 20:30,30840,30860,3830
5/21/2023 21:00,30860,30840,2695
5/21/2023 21:30,30850,30790,2284
5/21/2023 22:00,30800,30830,1267
5/21/2023 22:30,30840,30870,1475
5/21/2023 23:00,30880,30860,809
5/21/2023 23:30,30860,30860,1426
5/22/2023 0:00,30870,30930,2699
5/22/2023 0:30,30930,31040,4869
5/22/2023 1:00,31030,31060,3158
5/22/2023 1:30,31060,31080,3308
5/22/2023 2:00,31080,31030,3824
5/22/2023 3:30,31050,31010,1909
5/22/2023 4:00,31010,31050,1002
5/22/2023 4:30,31050,31020,731
5/22/2023 5:00,31020,31010,346
5/22/2023 5:30,31020,31000,360
5/22/2023 6:00,31000,31030,607
5/22/2023 6:30,31030,31020,353
5/22/2023 7:00,31020,31040,423
5/22/2023 7:30,31040,31130,1871
5/22/2023 8:00,31130,31130,1739
5/22/2023 8:30,31130,31160,1448
5/22/2023 9:00,31160,31140,1195
5/22/2023 9:30,31150,31230,2885
5/22/2023 10:00,31220,31200,3621
5/22/2023 10:30,31200,31220,1819
5/22/2023 11:00,31220,31240,1448
5/22/2023 11:30,31240,31250,675
5/22/2023 12:00,31250,31220,756
5/22/2023 12:30,31220,31260,776
5/22/2023 13:00,31260,31240,1367
5/22/2023 13:30,31240,31240,260
5/22/2023 14:00,31240,31270,449
5/22/2023 14:30,31280,31280,404
5/22/2023 15:00,31280,31210,1033
5/22/2023 15:30,31210,31220,978
5/22/2023 16:00,31220,31200,299
5/22/2023 16:30,31200,31210,129
5/22/2023 17:00,31190,31190,85
5/22/2023 19:30,31260,31280,2358
5/22/2023 20:00,31280,31270,7098
5/22/2023 20:30,31270,31310,5924
5/22/2023 21:00,31310,31330,3649
5/22/2023 21:30,31340,31310,3706
5/22/2023 22:00,31310,31290,2610
5/22/2023 22:30,31300,31300,1628
5/22/2023 23:00,31300,31280,930
5/22/2023 23:30,31270,30990,17553
5/23/2023 0:00,31000,30960,9604
5/23/2023 0:30,30960,30930,3399
5/23/2023 1:00,30920,30900,2259
5/23/2023 1:30,30910,30970,4906
5/23/2023 2:00,30960,30850,4935
5/23/2023 3:30,30870,30770,4812
5/23/2023 4:00,30770,30720,1579
5/23/2023 4:30,30730,30680,2171
5/23/2023 5:00,30680,30610,2938
5/23/2023 5:30,30620,30620,1143
5/23/2023 6:00,30620,30650,921
5/23/2023 6:30,30660,30660,1096
5/23/2023 7:00,30650,30630,738
5/23/2023 7:30,30640,30550,1375
5/23/2023 8:00,30550,30610,1444
5/23/2023 8:30,30610,30640,1236
5/23/2023 9:00,30650,30640,1186
5/23/2023 9:30,30640,30730,2257
5/23/2023 10:00,30730,30780,2096
5/23/2023 10:30,30770,30760,1508
5/23/2023 11:00,30760,30810,1466
5/23/2023 11:30,30810,30890,1977
5/23/2023 12:00,30890,30860,1024
5/23/2023 12:30,30860,30790,1078
5/23/2023 13:00,30800,30730,524
5/23/2023 13:30,30720,30750,736
5/23/2023 14:00,30750,30710,652
5/23/2023 14:30,30700,30730,494
5/23/2023 15:00,30730,30730,535
5/23/2023 15:30,30730,30680,609
5/23/2023 16:00,30690,30680,181
5/23/2023 16:30,30680,30670,85
5/23/2023 17:00,30670,30670,46
5/23/2023 19:30,30700,30760,2526
5/23/2023 20:00,30770,30810,7194
5/23/2023 20:30,30810,30800,3065
5/23/2023 21:00,30810,30740,4011
5/23/2023 21:30,30740,30630,3900
5/23/2023 22:00,30630,30620,2431
5/23/2023 22:30,30620,30630,973
5/23/2023 23:00,30630,30620,1206
5/23/2023 23:30,30610,30700,4400
5/24/2023 0:00,30710,30730,3230
5/24/2023 0:30,30740,30760,1598
5/24/2023 1:00,30770,30800,2598
5/24/2023 1:30,30800,30690,3230
5/24/2023 2:00,30690,30610,5377
5/24/2023 3:30,30550,30590,1810
5/24/2023 4:00,30590,30590,2113
5/24/2023 4:30,30590,30660,808
5/24/2023 5:00,30650,30580,898
5/24/2023 5:30,30580,30550,700
5/24/2023 6:00,30550,30500,1358
5/24/2023 6:30,30500,30510,1079
5/24/2023 7:00,30520,30510,610
5/24/2023 7:30,30510,30480,747
5/24/2023 8:00,30480,30510,508
5/24/2023 8:30,30500,30480,695
5/24/2023 9:00,30470,30480,559
5/24/2023 9:30,30480,30450,1715
5/24/2023 10:00,30450,30420,1054
5/24/2023 10:30,30420,30460,1099
5/24/2023 11:00,30460,30510,1095
5/24/2023 11:30,30520,30510,844
5/24/2023 12:00,30520,30500,605
5/24/2023 12:30,30510,30550,483
5/24/2023 13:00,30540,30530,367
5/24/2023 13:30,30530,30550,405
5/24/2023 14:00,30550,30480,385
5/24/2023 14:30,30470,30470,185
5/24/2023 15:00,30470,30540,409
5/24/2023 15:30,30540,30500,584
5/24/2023 16:00,30490,30550,488
5/24/2023 16:30,30550,30580,282
5/24/2023 17:00,30600,30600,49
5/24/2023 19:30,30660,30710,2715
5/24/2023 20:00,30700,30770,8334
5/24/2023 20:30,30770,30850,7898
5/24/2023 21:00,30850,30740,6753
5/24/2023 21:30,30750,30800,4739
5/24/2023 22:00,30800,30850,3312
5/24/2023 22:30,30850,30860,1211
5/24/2023 23:00,30860,30870,1979
5/24/2023 23:30,30880,30860,1983
5/25/2023 0:00,30850,30850,1558
5/25/2023 0:30,30840,30760,2595
5/25/2023 1:00,30750,30800,2059
5/25/2023 1:30,30800,30780,3292
5/25/2023 2:00,30790,30830,3476
5/25/2023 3:30,30830,30750,2114
5/25/2023 4:00,30760,30810,989
5/25/2023 4:30,30810,30870,856
5/25/2023 5:00,30870,30890,817
5/25/2023 5:30,30900,30940,841
5/25/2023 6:00,30940,30920,508
5/25/2023 6:30,30930,30920,407
5/25/2023 7:00,30920,30920,463
5/25/2023 7:30,30920,30970,919
5/25/2023 8:00,30970,30930,1114
5/25/2023 8:30,30950,31020,1698
5/25/2023 9:00,31030,30990,1299
5/25/2023 9:30,30990,30930,2948
5/25/2023 10:00,30940,30940,2068
5/25/2023 10:30,30940,30970,1452
5/25/2023 11:00,30970,30950,1173
5/25/2023 11:30,30950,30920,1126
5/25/2023 12:00,30930,30980,1318
5/25/2023 12:30,30980,30960,488
5/25/2023 13:00,30960,31020,403
5/25/2023 13:30,31030,31030,469
5/25/2023 14:00,31040,31050,853
5/25/2023 14:30,31050,31000,815
5/25/2023 15:00,31000,31080,611
5/25/2023 15:30,31080,31100,1314
5/25/2023 16:00,31090,31070,469
5/25/2023 16:30,31070,31070,181
5/25/2023 17:00,31070,31070,74
5/25/2023 19:30,31000,30950,1987
5/25/2023 20:00,30950,31050,7066
5/25/2023 20:30,31040,30980,4612
5/25/2023 21:00,30980,30990,5580
5/25/2023 21:30,30990,31080,3193
5/25/2023 22:00,31080,31100,2077
5/25/2023 22:30,31110,31030,1392
5/25/2023 23:00,31030,31060,1278
5/25/2023 23:30,31050,31020,5354
5/26/2023 0:00,31020,30990,1839
5/26/2023 0:30,30990,31020,1578
5/26/2023 1:00,31010,31010,3156
5/26/2023 1:30,31010,30940,4565
5/26/2023 2:00,30940,30960,3436
5/26/2023 3:30,30980,30950,1608
5/26/2023 4:00,30960,31010,1207
5/26/2023 4:30,31020,31040,1112
5/26/2023 5:00,31050,31040,338
5/26/2023 5:30,31030,31060,605
5/26/2023 6:00,31050,31090,669
5/26/2023 6:30,31080,31150,977
5/26/2023 7:00,31160,31180,1041
5/26/2023 7:30,31180,31170,900
5/26/2023 8:00,31160,31120,524
5/26/2023 8:30,31120,31200,1029
5/26/2023 9:00,31200,31210,1031
5/26/2023 9:30,31210,31310,2206
5/26/2023 10:00,31300,31460,2657
5/26/2023 10:30,31460,31510,2050
5/26/2023 11:00,31510,31490,1564
5/26/2023 11:30,31480,31490,993
5/26/2023 12:00,31490,31520,833
5/26/2023 12:30,31520,31530,633
5/26/2023 13:00,31530,31500,526
5/26/2023 13:30,31500,31510,494
5/26/2023 14:00,31510,31520,358
5/26/2023 14:30,31520,31550,807
5/26/2023 15:00,31540,31510,819
5/26/2023 15:30,31500,31500,1303
5/26/2023 16:00,31500,31520,186
5/26/2023 16:30,31520,31490,200
5/26/2023 17:00,31500,31500,58
5/28/2023 19:30,31630,31600,2824
5/28/2023 20:00,31600,31390,9958
5/28/2023 20:30,31390,31400,7490
5/28/2023 21:00,31400,31420,3852
5/28/2023 21:30,31430,31350,5090
5/28/2023 22:00,31350,31330,3036
5/28/2023 22:30,31330,31350,1182
5/28/2023 23:00,31350,31360,648
5/28/2023 23:30,31360,31200,6677
5/29/2023 0:00,31210,31210,2065
5/29/2023 0:30,31210,31280,2192
5/29/2023 1:00,31280,31280,1810
5/29/2023 1:30,31280,31240,3989
5/29/2023 2:00,31240,31300,4088
5/29/2023 3:30,31370,31320,898
5/29/2023 4:00,31320,31350,565
5/29/2023 4:30,31360,31330,635
5/29/2023 5:00,31330,31290,685
5/29/2023 5:30,31290,31270,642
5/29/2023 6:00,31270,31240,375
5/29/2023 6:30,31250,31230,288
5/29/2023 7:00,31230,31230,754
5/29/2023 7:30,31230,31250,364
5/29/2023 8:00,31260,31230,323
5/29/2023 8:30,31220,31230,250
5/29/2023 9:00,31230,31230,275
5/29/2023 9:30,31230,31250,327
5/29/2023 10:00,31250,31290,343
5/29/2023 10:30,31290,31300,519
5/29/2023 11:00,31310,31310,290
5/29/2023 11:30,31310,31300,228
5/29/2023 12:00,31300,31300,182
5/29/2023 12:30,31300,31300,130
5/29/2023 13:00,31300,31300,3
5/29/2023 13:30,31300,31300,2
5/29/2023 14:00,31300,31300,18
5/29/2023 14:30,31310,31300,12
5/29/2023 15:30,31300,31300,1
5/29/2023 16:00,31290,31300,10
5/29/2023 16:30,31290,31290,70
5/29/2023 17:00,31280,31280,61
5/29/2023 19:30,31270,31190,1998
5/29/2023 20:00,31190,31220,8892
5/29/2023 20:30,31220,31120,6137
5/29/2023 21:00,31130,31120,2499
5/29/2023 21:30,31130,31080,3310
5/29/2023 22:00,31080,31120,2399
5/29/2023 22:30,31110,31120,1475
5/29/2023 23:00,31120,31110,1038
5/29/2023 23:30,31110,31230,3024
5/30/2023 0:00,31230,31320,4535
5/30/2023 0:30,31320,31340,3206
5/30/2023 1:00,31340,31330,1932
5/30/2023 1:30,31330,31320,2777
5/30/2023 2:00,31320,31380,3325
5/30/2023 3:30,31300,31340,2308
5/30/2023 4:00,31350,31350,1476
5/30/2023 4:30,31350,31300,1305
5/30/2023 5:00,31300,31390,2518
5/30/2023 5:30,31390,31420,822
5/30/2023 6:00,31410,31400,897
5/30/2023 6:30,31400,31370,572
5/30/2023 7:00,31370,31330,1257
5/30/2023 7:30,31330,31330,725
5/30/2023 8:00,31330,31320,553
5/30/2023 8:30,31320,31310,866
5/30/2023 9:00,31310,31300,846
5/30/2023 9:30,31300,31240,1966
5/30/2023 10:00,31240,31160,2311
5/30/2023 10:30,31160,31170,983
5/30/2023 11:00,31170,31130,1595
5/30/2023 11:30,31130,31150,504
5/30/2023 12:00,31150,31140,315
5/30/2023 12:30,31130,31150,859
5/30/2023 13:00,31150,31090,741
5/30/2023 13:30,31090,31090,546
5/30/2023 14:00,31090,31140,1279
5/30/2023 14:30,31140,31170,775
5/30/2023 15:00,31160,31170,391
5/30/2023 15:30,31180,31140,1017
5/30/2023 16:00,31140,31150,402
5/30/2023 16:30,31150,31150,171
5/30/2023 17:00,31120,31120,77
5/30/2023 19:30,31130,31090,2054
5/30/2023 20:00,31080,30980,7228
5/30/2023 20:30,30970,31010,5402
5/30/2023 21:00,31010,31120,4097
5/30/2023 21:30,31110,31090,4958
5/30/2023 22:00,31090,30970,4084
5/30/2023 22:30,30970,30990,1268
5/30/2023 23:00,31000,30960,1995
5/30/2023 23:30,30970,30930,3387
5/31/2023 0:00,30940,30840,4285
5/31/2023 0:30,30840,30850,2469
5/31/2023 1:00,30850,30800,3135
5/31/2023 1:30,30810,30890,6747
5/31/2023 2:00,30890,30850,6377
5/31/2023 3:30,30910,30950,2786
5/31/2023 4:00,30940,30920,1485
5/31/2023 4:30,30920,30940,1459
5/31/2023 5:00,30940,30930,1013
5/31/2023 5:30,30930,30890,581
5/31/2023 6:00,30900,30840,706
5/31/2023 6:30,30840,30920,712
5/31/2023 7:00,30920,30880,483
5/31/2023 7:30,30880,30820,875
5/31/2023 8:00,30810,30790,734
5/31/2023 8:30,30800,30790,643
5/31/2023 9:00,30790,30810,544
5/31/2023 9:30,30810,30780,1604
5/31/2023 10:00,30780,30710,2499
5/31/2023 10:30,30710,30680,1788
5/31/2023 11:00,30680,30660,943
5/31/2023 11:30,30670,30680,1133
5/31/2023 12:00,30690,30690,741
5/31/2023 12:30,30680,30730,1014
5/31/2023 13:00,30720,30740,496
5/31/2023 13:30,30740,30770,1075
5/31/2023 14:00,30770,30760,632
5/31/2023 14:30,30760,30720,546
5/31/2023 15:00,30720,30760,342
5/31/2023 15:30,30760,30780,623
5/31/2023 16:00,30780,30770,448
5/31/2023 16:30,30770,30760,277
5/31/2023 17:00,30760,30760,90
5/31/2023 19:30,30810,30870,2786
5/31/2023 20:00,30880,31070,7536
5/31/2023 20:30,31070,31060,5274
5/31/2023 21:00,31060,31140,3883
5/31/2023 21:30,31150,30960,7973
5/31/2023 22:00,30960,30980,3865
5/31/2023 22:30,30980,31010,2339
5/31/2023 23:00,31000,31040,1824
5/31/2023 23:30,31040,31110,2772
6/1/2023 0:00,31110,31120,2105
6/1/2023 0:30,31120,31100,1844
6/1/2023 1:00,31100,31130,1593
6/1/2023 1:30,31130,31130,3837
6/1/2023 2:00,31130,31150,3933
6/1/2023 3:30,31230,31240,2578
6/1/2023 4:00,31240,31280,1470
6/1/2023 4:30,31290,31320,1624
6/1/2023 5:00,31320,31330,1230
6/1/2023 5:30,31330,31310,626
6/1/2023 6:00,31310,31320,454
6/1/2023 6:30,31320,31300,485
6/1/2023 7:00,31300,31290,381
6/1/2023 7:30,31290,31290,636
6/1/2023 8:00,31290,31290,741
6/1/2023 8:30,31290,31200,1882
6/1/2023 9:00,31200,31240,1112
6/1/2023 9:30,31240,31200,1585
6/1/2023 10:00,31200,31220,2109
6/1/2023 10:30,31220,31320,2071
6/1/2023 11:00,31320,31330,1626
6/1/2023 11:30,31330,31340,1018
6/1/2023 12:00,31340,31350,587
6/1/2023 12:30,31350,31370,516
6/1/2023 13:00,31370,31390,779
6/1/2023 13:30,31390,31400,499
6/1/2023 14:00,31400,31410,250
6/1/2023 14:30,31410,31420,409
6/1/2023 15:00,31410,31380,281
6/1/2023 15:30,31390,31400,1135
6/1/2023 16:00,31400,31390,442
6/1/2023 16:30,31390,31400,286
6/1/2023 17:00,31390,31390,60
6/1/2023 19:30,31340,31330,2963
6/1/2023 20:00,31340,31390,5854
6/1/2023 20:30,31390,31330,3433
6/1/2023 21:00,31320,31350,2745
6/1/2023 21:30,31350,31420,3388
6/1/2023 22:00,31420,31390,1632
6/1/2023 22:30,31380,31370,983
6/1/2023 23:00,31370,31350,797
6/1/2023 23:30,31350,31440,3310
6/2/2023 0:00,31450,31490,1911
6/2/2023 0:30,31490,31460,1661
6/2/2023 1:00,31470,31480,1587
6/2/2023 1:30,31490,31530,2854
