Dates,Open,Close,Volume
5/21/2023 20:00,4393,4395,965
5/21/2023 20:30,4396,4396,732
5/21/2023 21:00,4396,4396,449
5/21/2023 21:30,4396,4394,409
5/21/2023 22:00,4393,4394,323
5/21/2023 22:30,4394,4396,138
5/21/2023 23:00,4396,4395,285
5/21/2023 23:30,4396,4396,231
5/22/2023 0:00,4396,4397,189
5/22/2023 0:30,4398,4397,1091
5/22/2023 1:00,4397,4397,369
5/22/2023 1:30,4397,4395,1511
5/22/2023 2:00,4396,4392,8394
5/22/2023 2:30,4391,4390,8197
5/22/2023 3:00,4390,4392,46886
5/22/2023 3:30,4392,4396,22751
5/22/2023 4:00,4396,4398,14921
5/22/2023 4:30,4399,4399,10569
5/22/2023 5:00,4399,4396,15663
5/22/2023 5:30,4395,4394,15564
5/22/2023 6:00,4394,4393,11640
5/22/2023 6:30,4393,4389,24402
5/22/2023 7:00,4389,4383,15683
5/22/2023 7:30,4383,4388,16265
5/22/2023 8:00,4388,4385,12874
5/22/2023 8:30,4386,4385,11691
5/22/2023 9:00,4385,4384,13349
5/22/2023 9:30,4384,4386,26138
5/22/2023 10:00,4386,4388,35692
5/22/2023 10:30,4388,4389,18497
5/22/2023 11:00,4389,4390,45954
5/22/2023 11:30,4389,4393,62922
5/22/2023 12:00,4393,4391,11194
5/22/2023 12:30,4390,4392,5695
5/22/2023 13:00,4392,4390,11577
5/22/2023 13:30,4391,4390,2630
5/22/2023 14:00,4389,4393,1898
5/22/2023 14:30,4394,4394,2285
5/22/2023 15:00,4394,4391,4816
5/22/2023 15:30,4391,4391,8545
5/22/2023 16:00,4391,4391,3
5/22/2023 20:00,4396,4398,1230
5/22/2023 20:30,4399,4398,971
5/22/2023 21:00,4398,4400,881
5/22/2023 21:30,4400,4398,1217
5/22/2023 22:00,4398,4397,618
5/22/2023 22:30,4397,4397,505
5/22/2023 23:00,4397,4396,296
5/22/2023 23:30,4395,4393,556
5/23/2023 0:00,4393,4391,1361
5/23/2023 0:30,4391,4390,122
5/23/2023 1:00,4390,4387,1109
5/23/2023 1:30,4387,4391,757
5/23/2023 2:00,4391,4385,4185
5/23/2023 2:30,4384,4383,5182
5/23/2023 3:00,4383,4379,35191
5/23/2023 3:30,4379,4375,32318
5/23/2023 4:00,4376,4371,29026
5/23/2023 4:30,4371,4368,16660
5/23/2023 5:00,4368,4366,19413
5/23/2023 5:30,4366,4366,14691
5/23/2023 6:00,4366,4372,14866
5/23/2023 6:30,4372,4370,15600
5/23/2023 7:00,4371,4371,13760
5/23/2023 7:30,4370,4363,15824
5/23/2023 8:00,4362,4364,14417
5/23/2023 8:30,4364,4363,19535
5/23/2023 9:00,4363,4359,23411
5/23/2023 9:30,4359,4356,38782
5/23/2023 10:00,4356,4356,31143
5/23/2023 10:30,4355,4349,35672
5/23/2023 11:00,4349,4348,46781
5/23/2023 11:30,4348,4350,67031
5/23/2023 12:00,4350,4346,13072
5/23/2023 12:30,4345,4339,14015
5/23/2023 13:00,4338,4334,6207
5/23/2023 13:30,4334,4332,9566
5/23/2023 14:00,4331,4324,17024
5/23/2023 14:30,4325,4328,7015
5/23/2023 15:00,4328,4329,6685
5/23/2023 15:30,4328,4326,11212
5/23/2023 16:00,4326,4326,29
5/23/2023 20:00,4330,4330,1269
5/23/2023 20:30,4330,4331,985
5/23/2023 21:00,4330,4328,911
5/23/2023 21:30,4328,4326,676
5/23/2023 22:00,4325,4327,769
5/23/2023 22:30,4326,4325,283
5/23/2023 23:00,4326,4326,258
5/23/2023 23:30,4325,4327,200
5/24/2023 0:00,4328,4329,250
5/24/2023 0:30,4329,4330,637
5/24/2023 1:00,4330,4329,1376
5/24/2023 1:30,4329,4322,2934
5/24/2023 2:00,4323,4313,11476
5/24/2023 2:30,4313,4311,16545
5/24/2023 3:00,4312,4287,84647
5/24/2023 3:30,4287,4281,70577
5/24/2023 4:00,4281,4280,44291
5/24/2023 4:30,4279,4295,40526
5/24/2023 5:00,4295,4278,39833
5/24/2023 5:30,4279,4274,28172
5/24/2023 6:00,4275,4268,34594
5/24/2023 6:30,4268,4269,26526
5/24/2023 7:00,4269,4269,26122
5/24/2023 7:30,4268,4268,18852
5/24/2023 8:00,4268,4274,25545
5/24/2023 8:30,4273,4267,23473
5/24/2023 9:00,4267,4269,30965
5/24/2023 9:30,4269,4259,50309
5/24/2023 10:00,4259,4260,47200
5/24/2023 10:30,4259,4267,56089
5/24/2023 11:00,4267,4265,89661
5/24/2023 11:30,4265,4266,102351
5/24/2023 12:00,4265,4264,15804
5/24/2023 12:30,4264,4266,7914
5/24/2023 13:00,4265,4263,8082
5/24/2023 13:30,4263,4267,5602
5/24/2023 14:00,4267,4260,6078
5/24/2023 14:30,4261,4259,3928
5/24/2023 15:00,4260,4268,6819
5/24/2023 15:30,4268,4265,14779
5/24/2023 16:00,4267,4267,19
5/24/2023 20:00,4279,4272,3359
5/24/2023 20:30,4272,4273,1968
5/24/2023 21:00,4273,4265,1313
5/24/2023 21:30,4266,4265,1057
5/24/2023 22:00,4265,4268,838
5/24/2023 22:30,4268,4268,1224
5/24/2023 23:00,4268,4274,2500
5/24/2023 23:30,4273,4271,1409
5/25/2023 0:00,4271,4271,1038
5/25/2023 0:30,4271,4270,481
5/25/2023 1:00,4271,4270,2379
5/25/2023 1:30,4270,4269,1774
5/25/2023 2:00,4269,4277,13204
