Dates,Open,Close,Volume
5/18/2023 3:00,7260,7264,573
5/18/2023 3:30,7264,7269,257
5/18/2023 4:00,7270,7271,723
5/18/2023 4:30,7271,7266,349
5/18/2023 5:00,7266,7268,841
5/18/2023 5:30,7267,7271,237
5/18/2023 6:00,7271,7270,192
5/18/2023 6:30,7271,7274,346
5/18/2023 7:00,7274,7272,726
5/18/2023 7:30,7272,7270,581
5/18/2023 8:00,7270,7269,353
5/18/2023 8:30,7268,7253,1038
5/18/2023 9:00,7253,7256,421
5/18/2023 9:30,7256,7250,565
5/18/2023 10:00,7250,7256,1060
5/18/2023 10:30,7257,7256,794
5/18/2023 11:00,7256,7257,920
5/18/2023 11:30,7257,7253,598
5/18/2023 12:00,7252,7243,465
5/18/2023 12:30,7242,7244,363
5/18/2023 13:00,7244,7244,498
5/18/2023 13:30,7243,7240,172
5/18/2023 14:00,7240,7247,222
5/18/2023 14:30,7247,7254,202
5/18/2023 15:00,7254,7257,138
5/18/2023 15:30,7258,7275,875
5/18/2023 16:00,7274,7273,768
5/18/2023 16:30,7274,7276,873
5/18/2023 19:30,7280,7276,1149
5/18/2023 20:00,7276,7285,3274
5/18/2023 20:30,7286,7287,1956
5/18/2023 21:00,7288,7287,1772
5/18/2023 21:30,7287,7286,1883
5/18/2023 22:00,7285,7293,1524
5/18/2023 22:30,7294,7302,1417
5/18/2023 23:00,7302,7308,3703
5/18/2023 23:30,7308,7300,1493
5/19/2023 0:00,7299,7301,1611
5/19/2023 0:30,7301,7305,1473
5/19/2023 1:00,7305,7301,2072
5/19/2023 1:30,7300,7300,2064
5/19/2023 2:00,7300,7300,3491
5/19/2023 3:00,7295,7292,516
5/19/2023 3:30,7292,7298,372
5/19/2023 4:00,7297,7298,223
5/19/2023 4:30,7298,7306,196
5/19/2023 5:00,7306,7301,123
5/19/2023 5:30,7300,7303,306
5/19/2023 6:00,7303,7301,433
5/19/2023 6:30,7301,7300,167
5/19/2023 7:00,7299,7309,372
5/19/2023 7:30,7310,7310,300
5/19/2023 8:00,7311,7313,334
5/19/2023 8:30,7313,7314,268
5/19/2023 9:00,7313,7311,508
5/19/2023 9:30,7310,7309,974
5/19/2023 10:00,7308,7304,569
5/19/2023 10:30,7305,7306,568
5/19/2023 11:00,7306,7289,1041
5/19/2023 11:30,7288,7284,1454
5/19/2023 12:00,7283,7281,393
5/19/2023 12:30,7280,7286,418
5/19/2023 13:00,7287,7290,173
